recording_name,subject_id,dataset_name,age_months,mean_prop_looking,sd_prop_looking,n_trials_prop_looking,mean_prop_looking_diff,sd_prop_looking_diff,n_trials_prop_looking_diff,mean_number_fixations,sd_number_fixations,n_trials_number_fixations,mean_prop_shift_target_initial,sd_prop_shift_target_initial,n_trials_prop_shift_target_initial,mean_prop_shift_distractor_initial,sd_prop_shift_distractor_initial,n_trials_prop_shift_distractor_initial,mean_RT,sd_RT,n_trials_RT,total_aoi_switches,n_trials_total_aoi_switches,mean_duration_of_look,sd_duration_of_look,n_trials_duration_of_look,mean_first_look_dur,sd_first_look_dur,n_trials_first_look_dur,mean_longest_look,sd_longest_look,age_months_centred,data_split
60_ronfard_2021_22,60,ronfard_2021,22,0.663946608946609,0.15627104282258952,5,0.1681034482758621,0.0060957481136771265,2,1,0,5,NA,NA,NA,1,0,5,540,231.8404623873926,5,5,5,1213.3333333333333,290.2106514623855,5,1213.3333333333333,290.2106514623855,5,1213.3333333333333,290.2106514623855,-3,distractor
61_ronfard_2021_18,61,ronfard_2021,18,0.673800617112942,0.13765313966576595,12,0.35344827586206895,0.1900813741229774,6,1,0,12,NA,NA,NA,1,0,12,465,198.86038958388508,12,12,12,1197.2222222222222,263.0275682956098,12,1197.2222222222222,263.0275682956098,12,1197.2222222222222,263.0275682956098,-7,distractor
62_ronfard_2021_18,62,ronfard_2021,18,0.6987816414574562,0.14566010740115015,11,0.5193965517241379,0.004310344827586225,4,1,0,11,NA,NA,NA,1,0,11,496.8181818181818,199.7157070346838,11,11,11,1251.5151515151517,264.30774838923253,11,1251.5151515151517,264.30774838923253,11,1251.5151515151517,264.30774838923253,-7,distractor
108_pomper_saffran_2016_46,108,pomper_saffran_2016,46,0.7655561290983907,0.2135904176132636,4,NA,NA,NA,1,0,4,NA,NA,NA,0.75,0.5,4,256.6666666666667,104.08329997330664,3,1,4,2625,743.0542575274229,4,2625,743.0542575274229,4,2625,743.0542575274229,21,distractor
109_pomper_saffran_2016_43,109,pomper_saffran_2016,43,0.6466666666666667,0.26398653164297775,2,NA,NA,NA,1,0,2,NA,NA,NA,1,0,2,202.5,17.67766952966369,2,1,2,1900.0000000000002,518.544972870135,2,1900.0000000000002,518.544972870135,2,1900.0000000000002,518.544972870135,18,distractor
110_pomper_saffran_2016_47,110,pomper_saffran_2016,47,0.7584253617669459,0.24645067840098542,2,NA,NA,NA,1,0,2,NA,NA,NA,1,0,2,390,212.13203435596427,2,2,2,2600,895.6685895029602,2,2600,895.6685895029602,2,2600,895.6685895029602,22,distractor
111_pomper_saffran_2016_42,111,pomper_saffran_2016,42,0.9635922330097088,0.018378344161165926,4,NA,NA,NA,1,0,4,NA,NA,NA,1,0,4,183.75,47.32423621500228,4,0,4,3308.333333333334,63.09898162000311,4,3308.333333333334,63.09898162000311,4,3308.333333333334,63.09898162000311,17,distractor
112_pomper_saffran_2016_43,112,pomper_saffran_2016,43,0.9264705882352942,0.10398629135096289,2,NA,NA,NA,1,0,2,NA,NA,NA,1,0,2,277.5,229.80970388562795,2,1,2,3150,353.5533905932741,2,3150,353.5533905932741,2,3150,353.5533905932741,18,distractor
113_pomper_saffran_2016_42,113,pomper_saffran_2016,42,0.6793754538852578,0.39970990266781137,3,NA,NA,NA,1.3333333333333333,0.5773502691896257,3,NA,NA,NA,1,0,3,573.3333333333334,480.4511768466525,3,3,3,1644.4444444444443,1123.651455119688,3,1822.2222222222222,1083.3760675332014,3,1822.2222222222222,1083.3760675332014,17,distractor
114_pomper_saffran_2016_42,114,pomper_saffran_2016,42,0.7973024645257655,0.12227747262390938,5,NA,NA,NA,1,0,5,NA,NA,NA,1,0,5,565,287.22813232690146,5,4,5,2733.3333333333335,430.7615994440028,5,2733.3333333333335,430.7615994440028,5,2733.3333333333335,430.7615994440028,17,distractor
115_pomper_saffran_2016_42,115,pomper_saffran_2016,42,0.5877260081654563,0.3487123140720944,3,NA,NA,NA,1,0,3,NA,NA,NA,1,0,3,590,463.0064794363034,3,4,3,1966.6666666666667,1242.309676905615,3,1966.6666666666667,1242.309676905615,3,1966.6666666666667,1242.309676905615,17,distractor
116_pomper_saffran_2016_45,116,pomper_saffran_2016,45,0.8093583396801218,0.16085733304596753,4,NA,NA,NA,1,0,4,NA,NA,NA,1,0,4,590,420.31734043061635,4,2,4,2766.666666666667,560.4231205741552,4,2766.666666666667,560.4231205741552,4,2766.666666666667,560.4231205741552,20,distractor
117_pomper_saffran_2016_43,117,pomper_saffran_2016,43,0.6379107787026779,0.18234737576110094,6,NA,NA,NA,1.1666666666666667,0.408248290463863,6,NA,NA,NA,1,0,6,602.5,231.16552511133662,6,10,6,1769.4444444444446,922.461481681043,6,1822.2222222222224,859.3710016742004,6,1822.2222222222224,859.3710016742004,18,distractor
118_pomper_saffran_2016_42,118,pomper_saffran_2016,42,0.8395209255010275,0.1828948236403917,5,NA,NA,NA,1,0,5,NA,NA,NA,1,0,5,375,429.97092924987385,5,2,5,2620,712.8191293105925,5,2620,712.8191293105925,5,2620,712.8191293105925,17,distractor
